consulta,clase
me olvide la contraseña y el correo no es el mismo es nicolaslopz16@gmail.com  ,Datos Personales
"hola, no se me cargó el crédito de la sube de marzo. desde sube me dicen que tiene fecha vencida, q tengo que hablar con mí universidad... no se qué significa eso pero espero puedan ayudarme. gracias ",Boleto Universitario
"buenas tardes, quiero acceder a la inscripción de asignaturas del 1er cuatrimestre, y me indica que ingrese el número de legajo, pero no lo tengo, como lo obtengo? ",Consulta por Legajo
hola! les escribo para hacerles una consulta. yo ya me inscribi por web y presencial. pero no me deja entrar con mi dni a la web de aspirante ,Ingreso a la Universidad
"buen día, el día sábado quise ingresar a mi usuario pero figuro como alumno no regular de la carrera, quisiera saber cual es el motivo por el cual se me dio de baja de la carrera. ultima materia cursada: segundo cuatrimestre 2016 quedando regular.  ",Reincorporación
me inscribí y no me deja seguir me pone dirigirse a la sede más cercana me pone que figuro como alumna ,Reincorporación
"el año pasado inicié el profesorado en física en simultáneo con ing. en alimentos, me digeron que se me iban a dar asignaturas como equivalencias directas en el prof.  por las materias aprobadas en la ing., entro a mi perfil del prof. y clickeo en &quot;analítico&quot; y me abre el analítico de todas las asignaturas que rendi en la ing.,&iquest;cómo puedo saber qué asignaturas tengo aprobadas por eqivalencia? ",Consulta por Equivalencias
"buen dia yo quise tramitar el título técnico en la página, y en la pestaña en la que me pide que escriba el nombre del título, la página me da unos datos míos y en el dato sexo hay una f, que debo hacer para que me corrijan ese error? ",Consulta sobre Título Universitario
"buen día,  quería saber si tienen información de por qué no se me acreditó el dinero del boleto estudiantil de febrero y marzo de 2018.  muchas gracias ",Boleto Universitario
"hola,buenas tardes,quisiera saber que requisito me falta para poder inscribirme a las materias de la carrera.muchas gracias  ",Requisitos de Ingreso
"necesito la certificación del programa análisis organizacional de la lic. en adm.,( 20262), para completar el pedido de equivalencias  en la univ. de gral. sarmiento, retiré el de contador, pero me falta este, quisiera saber si es factible retirarlo en san miguel, sin tener que ir a lujan, muchas gracias. ",Pedido de Certificados
"buenas tardes! quisiera saber cuál es el horarios del turno noche.  gracias! saludos, sabrina. ",Cursadas
"cuando voy a ingresar a la pagina para  accesos de aspirantes y ingreso mi documento, me aparece &quot;no existen datos para el aspirante ingresado.&quot; y yo si soy un aspirante ingresado ",Ingreso a la Universidad
"hola buenos días, quería saber por qué no se me acredita el boleto estudiantil provincial. cuando intento hacer el trámite por servicios académicos web me dice que el trámite ya está realizado, y cada vez que apoyó la sube en una terminal me dice que no poseo recargas pendientes. ",Boleto Universitario
hola. quisiera saber porque al solicitar el boleto estudiantil me sale &quot;error de credenciales&quot; me dice que mis datos son incorrectos y no cumplo con los requisitos. el año pasado lo solicite pero me lo sacaron. y quería registrarme nuevamente. ,Boleto Universitario
por que no me puedo inscribir a las materias. es urgente. es el ultimo dia que puedo hacerlo ,Cursadas
"hola, tuve que dar de baja mi tarjeta sube, que tenía boleto estudiantil provincial, por extravío. registre otra tarjeta sube a mi nombre pero la pagina de la unlu me imposibilita volver a realizar la solicitud para el beneficio.  gracias por su respuesta! ",Boleto Universitario
"quise cargar la sube en la maquina para que se carge el boleto y me apareció que no tengo ningún plan, entré a la página de la universidad haber si me podía registrar de nuevo y me decía que ya disponía de una tarifa social, pero cuando la vuelvo a pasar no me carga nada y me aparece eso, y la última vez que la cargué fue hace mas debun mes ",Boleto Universitario
"buenos días, no puedo ingresar a mi perfil, ya solicite un restablecimiento de clave pero no recibí ningún mail. necesitaría por favor ver la forma de solucionarlo antes del cierre de inscripciones para finales en septiembre. muchas gracias ",Problemas con la Clave
"hola, quería consultar por el boleto estudiantil provincial, &iquest;cuándo podré hacer el trámite para poder sacarlo? ya que ahora se encuentra suspendido.  gracias. saludos  ",Boleto Universitario
todavía no me cargaron la sube y ya intenten en varios puntos quería saber si tengo que hacer otro tramite para que me la carguen ,Boleto Universitario
"hola: para el boleto estudiantil de la provincia, me sale : la persona ya tiene un beneficio asignado. cómo tengo que hacer para que me otorguen esos viajes gratuitos en la sube? gracias saludos alan castro ",Boleto Universitario
no estoy podiendo ingresar a mi cuenta para poder inscribirme y he solicitado el restablecimiento de la contraseña pero no me llegó el meil!! ,Problemas con la Clave
"hola! quisiera saber como puedo resolver el tramite para el boleto estudiantil provincial, ya que cuando quiero iniciarlo me aparece &quot;error de credenciales&quot;. desde ya muchas gracias. ",Boleto Universitario
hola me pre inscribi pero cuando me acorde que me tenia que incribir ya estaba finalizado el periodo de 2 semanas y me volvi a pre inscribir pero  no me llega el  correo  ,Ingreso a la Universidad
"hola, quería saber si están acreditando la sube para el boleto estudiantil, yo tengo el beneficio pero este año no me han acreditado la sube. gracias ",Boleto Universitario
desde el comienzo del segundo cuatrimestre solicite el boleto estudiantil y aun no se acreditó. a dondey quien  puedo recurrir? ,Boleto Universitario
quiero ingresar a mí perfil de aspirante y me dice &quot;datos inexistentes&quot; ,Ingreso a la Universidad
empecé la inscripción online pero no me llega el mail de confirmación de la inscripción. qué hago? ,Ingreso a la Universidad
"buenas tardes, me olvide la contraseña y no me llega el mail para poder cambiarlo.  desde ya muchas gracias. saludos ",Problemas con la Clave
hola buen día. tengo una consulta. la página me dice que tengo un beneficio asignado a mí nombre. pero en la tarjeta sube nunca se me acredita nada. será que está mal el número de mí tarjeta?? 6061 2680 8148 7544 ese es mí número de tarjeta.  muchas gracias.  ,Boleto Universitario
"he perdido la condición de regular, quiero saber que trámite debo hacer para regularizarme ",Reincorporación
"hola buenos días, en principio gracias por la respuesta. ingrese a situación académica finales y me pude encontrar con las calificaciones. lo que me llamo la atención de esto es que no me figura deportes individuales y su enseñanza ii (dos) la cual yo ya curse y promoví con 7. espero su respuesta, gracias !! ",Situación Académica
"buen dia, estaria empezando este lunes 7 de marzo a las 13hs con elementos de matematicas?  por favor confirmar.  gracias. ",Cursadas
"buenas tardes. quería hacer una consulta con respecto a mi tarjeta sube. desde abril no me acreditan la carga, desde sube me dicen que tengo el beneficio pero que averig&uuml;e con la unlu que problemas puedo tener. por favor, espero su respuesta ya que lo necesito para poder ir a estudiar. muchas gracias!! ",Boleto Universitario
"buenos días,  quisiera pedirles si pueden viarme porfavor los programas de las siguientes materias: - metodolodía de la investigación - derecho i - estadística - administración de personal - administración de las operaciones  es para comparar estos programas con una equivalencias presentadas. desde ya muchas gracias  leonardo ",Consulta por Equivalencias
hola. queria saber porque no puedo acreditar mi sube con el boleto estudiantil. lo realice el año pasado el tramite.  ,Boleto Universitario
hola!! quiero tramitar el boleto universitario y me dice que ya tengo un beneficio asignado. pero no tengo el beneficio. ya hace un mes que lo tramité y aún no recibo ningún descuento. ,Boleto Universitario
hola ! podrian informarme de como hago para la simultaneidad de las carreras de administracion y contador? gracias ,Simultaneidad de Carreras
porque no puedo anotarme a las materias? ,Requisitos de Ingreso
solicito la modificación del correo con el que me inscribí.   no me ha llegado el mail para continuar con la inscripción de materias para el primer cuatrimestre aguardo respuesta saludos ana otero ,Datos Personales
no recuerdo mi clave actual y el sistema me dice que caduco y debo reestablecerla pero para hacerlo necesito recordarla. el problema es que no puedo. y no me pude anotar a las materias del segundo cuatrimestre 2019 ,Problemas con la Clave
"buenas tardes, me gustaría saber en cuanto tiempo aproximadamente voy a poder tener el beneficio de la sube porque ya paso 2 meses de que realice los trámites  ",Boleto Universitario
"en sistema me muestra que tengo beneficio adjudicado para boleto provincial univ , pero no se como hacer para que se acredite en mi sube ",Boleto Universitario
no me deja ingresar a las materias con mi número de documento ni tampoco contraseña.  ,Problemas con la Clave
"hola buenas tardes queria consultarles porque no puedo realizar los tramites para el boleto estudiantil si cumplo con los requisitos, gracias ",Boleto Universitario
"hola, necesitaría que me envíen mi contraseña para ingresar para inscripciones, etc.  que la olvidé al correo eléctronico que escribí arriba, porque creo que me la enviaron a otro correo eléctronico que ya no tengo. disculpas por la molestia, gracias ",Problemas con la Clave
hola yo realize la inscripcion de la asignatura algebra y logica computacional y no fue procesada  ,Cursadas
quiero solicitar la sube universitaria la cual todos los 20 de cada mes depositan en mi sube personal 40/45 viajes y en la página me dice que aún no se puede. quisiera saber si es así o es otro el inconveniente. muchas gracias. ,Boleto Universitario
no me llega el mail con el link para inscribirme en las materias ,Ingreso a la Universidad
hola me dirigo a una consulta. porque no puedo ingresar por alumnos a las pagina a ver mi estado de estudiando.. muchas gracias  ,Requisitos de Ingreso
"hola no podría estar entrando al panel de aspirantes, ya estoy anotada en la sede de san miguel,  me dijieron que podía entrar a ver al panel pero no puedo, gracias!!  ",Ingreso a la Universidad
"quiero pasarme a el profesorado de educación física, es posible en este mes de febrero de 2016. &iquest;qué debo hacer?. ",Cambio de Carrera
hola. queria saber si puedo pedir online o si tengo que ir a la oficina de alumnos a pedir los programas firmados de las materias que tengo aprobadas. ,Pedido de Certificados
no me acredita la carga mensual. hace ya 3 meses que no obtengo el boleto estudiantil. por favor busco una solución porque se me está haciendo muy difícil viajar a la universidad. desde ya muchas gracias.  ,Boleto Universitario
necesito una nuevaaa clave urgente gracias... por problemas de salud no puedo acercarme... a la unlu...  ojala me solucionen el problema ,Problemas con la Clave
buenas noches inicie el tramite para la sube estidiantil del boleto provincial y me dice que ya tengo el veneficio pero no pude descargar el formulario .  ,Boleto Universitario
"buenas noches.quisiera consultar porque en mi situacion academica,figura la materia introduccion al trabajo social(codigo 21469,cursada en la comision 25)sin completar;y yo la rendi regular en diciembre,con 9.quisiera saber si hace falta llevar la libreta estudiantil para corroborales ese dato.muchas gracias ",Situación Académica
"buen dia, mi consulta tiene que ver con el boleto provincial. realice el tramite con una tarjeta que extravie, le di de baja, en el portal sube tengo inscripta una nueva, pero en la pagina de la universidad no me deja tramitar de nuevo, me dice que ya tengo un beneficio asignado. gracias ",Boleto Universitario
"buenos dias, quisiera consultar como hago para solicitar un certificado de materias aprobadas y porcentaje, para presentar en mi trabajo. muchas gracias ",Pedido de Certificados
"no estoy pidiendo realizar el trámite del boleto  estudiantil,desde infraestructura me mandan a la universidad ,del centro regional san miguel no han podido darme respuesta hasta el momento,desde  transporte me dicen que es es problema de la universidad conninfraestructura..por favor espero alguna solución. gracias  ",Boleto Universitario
buenas noches: mi condicion es libre. necesito saber que debo hacer para volver a anotarme en las cursadas. gracias ,Reincorporación
"hola buen día, quise entrar con mi legajo y contraseña y no me deja, ni me apare para poder inscribirme a materias, muchas gracias ",Problemas con la Clave
no me permite insctibirme alas cursadas.y en el correo no tengo nada ,Cursadas
"hola quería saber como hacia para anotarme a las materias, espero su respuesta gracias  ",Cursadas
"buenos días:                     necesito solicitar un certificado de asignaturas aprobadas, con aplazos incluidos, para anotarme en en un concurso de ayudante de segunda en la unlu. cómo puedo hacer ese tramite? ",Pedido de Certificados
hice una preinscripción online pero todavía no me llegó nada  al correo. estoy interesada en la carrera de administración  ,Ingreso a la Universidad
"estimados buenas tardes, el motivo de mi consulta es para saber que gestión se necesita hacer para volver a retomar mi carrera inconclusa , ya que he visto que no figuro como alumno regular en dicha universidad. desde ya muchas gracias por su atención. saludos ",Reincorporación
hola en el portal del boleto estudiantil no me deja registrarme apreto el boton verde y me dice no se ah podido.hay algun problema? ,Boleto Universitario
"hola, tengo un inconveniente. quise acceder a la beca del boleto provincial, una vez hecho el trámite en mi sube figura que soy beneficiario de la tarifa social, pero en ningún momento se me acreditó el dinero habitual ($800 aprox). quisiera saber cómo puedo acceder al mismo.  ",Boleto Universitario
hola! pregunta... estoy cursando la carrera de contador público e hice la simultaneidad para que me reconozcan las asiganturas comunes a la lic. en administración. &iquest;las asignaturas comunes tengo que anotarme con los 2 legajos (el de contador y el de lic.) o s&ograve;lo con anotarme con el legajo de contador alcanza? ,Simultaneidad de Carreras
hola!!  mi consulta es por que no se acredita en mi sube el beneficio me dice que tengo asignado el beneficio pero no se hace la carga este año empece en la unm y no me deja insccribirme como ingresante para la sube ,Boleto Universitario
"buenas tardes. consulto por mi situación academica, hasta cuando tengo la regularidad, y si en caso que la pierda qué trámites debo hacer? gracias saludos cordiales ",Reincorporación
"ya hice todo el trámite de registro hace 3 días, cuando fui al portal sube a que me habiliten la sube me decía que no soy portador de ningún beneficio, pero cuando entro a la página me dice que ya soy beneficiario del servicio. hay algún paso que me falta hacer o tengo que esperar un tiempo determinado a que me habiliten? ",Boleto Universitario
"hola buenos dias, quería saber cuando me puedo inscribir o cuando se empieza el periodo de inscripción  para la carrera de profesorado en educación física. y que documentación hay que presentar para poder inscribirme.   desde ya muchas gracias.    ",Ingreso a la Universidad
"no recuerdo la clave, para anotarme en las cursadas del año 2017. ",Problemas con la Clave
me olvide mi clave deseo resetearla ,Problemas con la Clave
solo quiero saber  si   es necesario que me inscriba a las cursadas siendo que en la pre inscripcion yo ya elegi los horarios ,Cursadas
solicite hacer el trámite del boleto estudiantil y el link enviado a mi cuenta de mail dice que no corresponde a un trámite existente. éste trámite lo solicite el día 13/03. lo quise volver a solicitar y no lo puedo hacer. necesito que me solucionen éste problema ya que al beneficio lo necesito. ,Boleto Universitario
buenas noches. quisiera saber si aún  tengo vigente el boleto estudiantil en la universidad. dado que no se han realizado las últimas recargas de boleto estudiantil en mi sube. uds tienen forma de revisar esta info? desde ya muchas gracias. saludos ,Boleto Universitario
no puedo entrar a mi perfil de estudiante y no me ha llegado un mail para restablecer mi contraseña ,Problemas con la Clave
"buenos días, en mi situación académica figura una materia correspondiente al cuatrimestre pasado con &quot;acta no cargada&quot;, quería consultar cuando estaría cargada, ya que necesito una documentación y no puedo solicitarla hasta que no este el acta. muchas gracias ",Situación Académica
hola !. necesitaria un compobante de materias aprobadas para hacer el ingreso a la docencia.  gracias!!. ,Pedido de Certificados
"hola, me inscribí en la cede central el 18 de diciembre. quiero ingresar al perfil aspirante con mi numero de documento (para inscribirme al taller) y no me deja. quería saber por que no puedo entrar, ya que la inscripción a talleres cierra en unos días. ",Cursadas
porcentaje de materias aprobadas para ingreso a la docencia ,Pedido de Certificados
buenos dias mi consulta es para saber si me asignaron el boleto estudiantil . muchas gracias claudia báez  ,Boleto Universitario
queria saber si siguen abiertas las inscripciones para el 2017 ,Ingreso a la Universidad
"buenas tardes. mi consulta en este dia es porque la sube no me cargan mas. si entro en la pagina me dice que soy beneficiaria, pero sin embargo voy a consultar en el aparato de la sube y me dice que no soy beneficiaria de ningun plan . gracias... ",Boleto Universitario
cuando llega el mwnsaje ,Ingreso a la Universidad
"hola, no me puedo anotar en las materias ya que no recibi el mail con el link de ingreso a solicitudes de cursadas... q ",Ingreso a la Universidad
hola..puede ser que aun no esten las notas del taller..o estoy haciendo algo mal...podrias adelantarme la nota ,Cursadas
hola yo hice el tramite de la sube hace 1 mes y la registre...pero me la robaron hace 1 semana y ahora tengo otra...y como ya empezaron a hacer lo de entregar los 500$ ala sube a mi no me va a llegar... q deberia hacer? ,Boleto Universitario
hola no puedo ingresar a mi perfil cada vez que pongo mi clave dice estudiante inhabilitado y quiero saber por que no puedo ingresar gracias  ,Requisitos de Ingreso
"buenas tardes, ingrese a inscripcion a cursadas y me dice que me enviaron un mail pero no me llego nada. estoy intentando hace varios dias ",Ingreso a la Universidad
hice la incripcion pero no me llego el correo electronico ,Ingreso a la Universidad
"mi motivo de consulta es por mi reincorporación, lo hice dos veces y no tengo una respuesta, y quisiera saber los motivos. muchas gracias ",Reincorporación
me olvide la contraseña. y necesito inscribirme en este cuatrimestre. por favor como puedo hacer? ,Problemas con la Clave
buen día.me dirijo a ustedes porque necesito que me den el porcentaje que tengo de materias.tanto ami como a un compañero. nos dice 56 porciento y tenemos 56.el pedido es porque lo necesitamos para trabajar .nos lo piden. mi compañero es hernán bartolone .legajo:125325 y yo soy liliana neu .legajo:125324. saludos atentamente liliana neu ,Pedido de Certificados
"saludos, el dia 25/2 me presente a un final de la materia &quot;ciencias de los materiales&quot;, recien hoy cargaron la nota pero ahora no puedo conseguir el certificado de presencia al examen virtual para presentarlo en mi trabajo. podrían decirme donde imprimirlo?  ",Exámenes
"hola,  el cuatrimestre anterior por inconveniente familiar debí abandonar. ingreso a la página,  deseo cursar aunque sea ingles 1, pero no me figura ninguna opción de cursada.  que puedo hacer&iquest; no quiero perder la regularidad....  muchas gracias ",Cursadas
"buenas tardes,  queria saber si tenia equivalencias de la carrera anterior, comercio internacional. muchas gracias, saludos .  ",Consulta por Equivalencias
sigo sin poder entrar a mi perfil me sigue diciendo que la clave o el numero de legajo son incorrectos ,Problemas con la Clave
hola buenas tardes! quisiera solicitar el analítico de la carrera lic en trabajo social. como lo solicito? ,Pedido de Certificados
hola . olvidé mi clave. ingreso a la opción olvido su clave? completo los campos solicitados y menciona q me va a llegar un correo.sin embargo no he recibido ningún mail . gracias ,Problemas con la Clave
hola buenos días.  yo cambié de sube ya esta registrada a mi nombre y quería saber como tenía que hacer para cambiar el número para que me puedan otorgar el beneficio  ,Boleto Universitario
"quisiera saber el estado de mi solicitud de boleto estudiantil, gracias ",Boleto Universitario
hola. quería saber como puedo hacer para cambiar los horarios. si puedo renovarlos de nuevo. gracias ,Cambio de Comisión
"hola buenos dias , el email para modificar la contraseña . no llega ! saludos ",Problemas con la Clave
"buenos dias, queria saber cuales son las equivalencias para materias de la lic. en comercio exterior, con respecto a la de administración.  desde ya, muchas gracias ",Consulta por Equivalencias
"buenos dias solicito reestablecer mi clave, realice los pasos correspondiente pero nunca me llega  el mail para continuar desde ua muchas gracias si me pueden ayudar ",Problemas con la Clave
quize ver lo del boleto estudiantil provincial pero dice que soy beneficiaria.. como puedo hacer para saber bien como me hacen cargas por el beneficio de boleto estudiantil expliquen por que noce como es desde 11/6 me aparecio una carga de $810  me gustaria saber cuando hacen las cargas y donde puedo controlar eso ,Boleto Universitario
quisiera poder anotarme para comenzar la carrera de contador publio me gustaria saber que documentacion preciso poruqe en 2014 curse comercio internacional si neesito presentar toda la documentacion nueva o no? ,Requisitos de Ingreso
"quería consultarles si es posible obtener una constancia o papel con las notas de las materias que cursé en el año 1999 en ingeniería industrial?. es sólo a nivel informativo, ya que después de ese año, no continué. gracias! y perdonen la molestia. ",Pedido de Certificados
"hola necesito el certificado de alumno regular para hacer el carnet de una linea de colectivos, el papel del certificado lo pido en administración o puedo imprimirlo entrando a la pagina de la universidad?? ",Pedido de Certificados
"quería saber hasta cuando tengo tiempo de entregar el analítico del secundario, yo ingrese el año pasado a la universidad. y si no esta si podría entregar algún certificado. muchas gracias  ",Requisitos de Ingreso
"hola, buenos días. me comunico con ustedes porque ya hace un mes que fui a la sede de unlu de san miguel a dejar los papeles requeridos para inscribirse pero aún no se han subido los datos de aspirantes a la página web. es algún problema de la página o debe acercarme devuelta a la instalación? ",Ingreso a la Universidad
quiero hacer la inscripción a cursadas y me dice que no tengo inscripciones pendientes y no se como hacer  ,Cursadas
hola quisiera anotarme en las materias pero no aparezco en el sistema  ,Cursadas
yo queria hacer una consulta ....del boleto de la sube  me dice voleto asignado y no me cargaron y no entiendo porque? ,Boleto Universitario
trato de ingresar al sitio para anotarme en la finales . y dice que no soy un alumno que no cumplo los requisitos para entrar al sistema  ,Requisitos de Ingreso
"hola , quiero saber cómo hago en la página para anotarme a rendir materias , gracias !  ",Exámenes
quería solicitar si es posible el analítico con el porcentaje de materias aprobadas. paso mi teléfono celular por si es necesario. 0111533708728. desde ya muchas gracias. natalia saromé. ,Pedido de Certificados
quiero anotarme a las materias como hago?  ,Cursadas
buenas tardes queria ssber por que no logro anotarme en las asignaturas del cuatrimestre..?? muchas gracias ,Cursadas
buenos días:  yo realice la inscripción en la universidad el día 26/10/18. a la fecha no puedo visualizar mis datos. me informa lo siguiente &quot; no existen datos para el aspirante ingresado&quot;. me informaron que mis datos iban a aparecer al mes de inscripta.  quisiera saber si es que hay que realizar un paso mas.  muchas gracias ,Ingreso a la Universidad
"buen día,  quería consultar sobre el boleto estudiantil, porque inicio el trámite para obtenerlo como el año pasado y me dice error de credenciales,  gracias! ",Boleto Universitario
"hola buenas tardes, yo perdí una tarjeta sube donde tenía el beneficio del boleto estudiantil provincial, ya registré una nueva como hago para volver a tener el beneficio? ",Boleto Universitario
"buenas tardes, quería consultar quise inscribirme a materias y cuando ingreso a información académica me figura que soy un estudiante inhabilitada, quisiera saber cómo puedo resolverlo o por que sucede esto, gracias ",Requisitos de Ingreso
necesito solicitar analítico parcial y solicitud de materias aprobadas ,Pedido de Certificados
"hola. me registre online pero cuando me mandan el correo con el link para seguir la inscripción, me aparece error y no me lleva  a ninguna página. que puedo hacer ?  ",Ingreso a la Universidad
"buenas tardes, quería consultar acerca de la nota del final de analisis socioeconómico que rendí el dia miércoles 6 de julio. muchas gracias.  ",Situación Académica
buenos días: mi consulta es para saber por el boleto estudiantil que no lo tengo habilitado.ya consulte saldo en la estacion de lemos y me dice que no tengo el beneficio. .numero de tramite  t261221401553881711 espero su respuesta saludo atte. ,Boleto Universitario
quisiera saber como puedo obtener mi analitico para poder presentar en el trabajo que me recibi de lic en adm de empresa y de técnica.  gracias ,Pedido de Certificados
sobre el tema del boleto estudiantil. me aparece error en formulario. que puedo hacer para tramitarlo? ,Boleto Universitario
"hola que tal? mi problema es que por razones personales tuve que dejar inef en el segundo cuatrimestre y no puedo ingresara a mi perfil. para ver mi situaciones academica. quiero saber si puedo rendir aunque sea una materia de manera libre, pero me dice: el estudiante no cumple con los requisitos para ingresar al sistema. espero respuesta y muchas gracias! ",Requisitos de Ingreso
quiero cambiar la clave para ingresar al sistema y no me llega el email. gracias! ,Problemas con la Clave
"buenos días!  yo me había anotado al taller de lectura y compresión de texto que comenzaba el día 26 de junio en el horario de 17 a 21. por cuestiones de horario y trabajo no pude asistir a las clases, ya que mi horario es de 9 a 18, quería saber si hay alguna posibilidad de retomar la cursada al finalizar el receso de invierno. aguardo respuesta. saludos.  daniela ",Cursadas
hace más de tres semanas que estoy esperando el beneficio y nunca más llego ,Boleto Universitario
hola quise hacer la inscripcion del boleto estudiantil y me dice error de credenciales. por que sera. yo hice una actualizacion de datos personales hace un par de horas. sera por eso? gracias!!!! ,Boleto Universitario
"hola quisiera saber si en la consulta de situación académica deberían aparecer las notas de estos primeros parciales, ya que no me parecen y vi en la página que ya deberían estar  ",Situación Académica
perdi la regularidad como alumna. y en mi correo no me aparece formulario de reinscripcion ,Reincorporación
hola q tal... me olvidé la contraseña.. quiero cambiarla y me dice estudiante inhabilitado... que podría hacer para solucionarlo porque me tengo que anotar en un final de introducción a la administración..  ,Requisitos de Ingreso
"hola, me comunico con ustedes ya que quise tramitar el boleto para estudiantes de la provincia y me salta que ya lo tengo asignado, lo cual no estoy usando ya que recién  cague una sube a mi nombre.   quisiera saber si es un error de sistema?   ",Boleto Universitario
"corregir datos erróneos sobre mi domicilio. domicilio calle los juncos s/n ,e/ las camelias y el  irupe, barrio san pedro - lujan actualizar teléfono 02323529541 (no me permite realizar cambios sobre estos datos,solicitó sean actualizados). ",Datos Personales
&iquest;por qué no me llego la recarga de sube por boleto estudiantil provincial?  hice el trámite el año pasado y cuando entro ahora a &quot;boleto estudiantil provincial&quot;  aparece &quot;la persona ya tiene un beneficio asignado&quot;   ,Boleto Universitario
"estimados:  necesito ingresar para tramitar mi titulo y me da clave incorrecta. por favor podria habilitar el ingreso a mi perfil? aprobé la ultima materia en los turnos de mayo.  gracias,  saludos juan jose nogueiro ",Consulta sobre Título Universitario
hola .. necesito ayuda olvide la clave de mi usuario  y ahora no puedo entrar a mi perfil ..  podrian mandarme la clave. por favor .   desde ya muchas gracias.. !! ,Problemas con la Clave
"hola buenas tardes, necesito que me envien el mail para poder inscribirme a las materias de la cursada ",Ingreso a la Universidad
"estimados, buenos días. tengo una consulta, &iquest;cómo completo la inscripción web? porque ya 3 veces intente hacerlo y solo me deja realizar el primer paso, pero al finalizarlo no recibo el mail de confirmación para continuar con el proceso ",Ingreso a la Universidad
intento renovar mi contraseña porque caduco. y me dice la clave ingresada no coincide con la actual... hace tiempo la tuve que renovar dos veces... de esas veces no recuerdo al final con cual me quede. que puedo hacer? como puedo recuperar? ,Problemas con la Clave
"hola ,cuanto tarda el reenvio del correo para continuar con la incripcion. ",Ingreso a la Universidad
inscripción a la carrera  ,Ingreso a la Universidad
solicito certificado de materias aprobadas con porcentaje. gracias   ,Pedido de Certificados
no me deja entrar en el sistema .  ,Requisitos de Ingreso
kisiera saber por k no me cargaron más el boleto estudiantil muchas gracias ,Boleto Universitario
"hola, buenas tardes. mi consulta es debido a que mi tarjeta sube se rompió, y me vi obligado a asociarme a una nueva tarjeta sube. el problema es que el beneficio estaba incluido en la tarjeta anterior ( ya le di de baja, numero de gestion 9350300-c4n9m5)  &iquest;como puedo obtener el beneficio nuevamente ?  gracias ",Boleto Universitario
"buenos días, necesito un certificado con porcentaje de materias aprobadas, quisiera saber si puedo hacer el tramite vía web o si o si tengo que acercarme a la oficina?  muchas gracias ",Pedido de Certificados
no me llegan los mail para poder anotarme en las materias ,Ingreso a la Universidad
"hola, acabo de confirmar que aceptaron mi reincorporacion y el reconocimiento de las materias aprobadas y que la misma tiene validez hasta febrero de 2017, por favor, necesito orientacion para comenzar el proximo cuatrimestre ya que este no me inscribi a las cursadas, desde ya muchas gracias  ",Cursadas
"hola, quisiera mi legajo de lic de administarcion ",Consulta por Legajo
no me llega el email para confirmar mi nueva clave ,Problemas con la Clave
hola quisiera saber que pasa con los examenes que no se tomaron debido al paro y si en agosto se abre una nueva mesa ,Exámenes
"buen dia: envio este correo, porque no recuerdo mi clave de acceso, y el mail tampoco me llega, cuando pido nueva contraseña. desde ya muchas gracias  ",Problemas con la Clave
"hola, quiero tramitar el boleto estudiantil pero dice que ya tengo un beneficio asignado. la cuestión esta en que yo ya tenia el boleto porque estuve cursando en la unm pero me cambié a la unlu este año. como puedo hacer para obtener el boleto? me es de suma urgencia, muchas gracias-  ",Boleto Universitario
buenos dias. quisiera saber el estado de mi solicitud para acceder al boleto estudiantil. fue enviada el dia viernes 22/3 y no recibi noticias aún de como proceder. desde ya muchas gracias. micaela ,Boleto Universitario
hola. necesito restablecer la contraseña y no me llega el mail. quisiera saber qué puedo hacer. gracias ,Problemas con la Clave
"estimados, solicito a la universidad una constancia para presentar ante el trabajo que conste que soy estudiante de dicha casa de estudios. la solicitud, la realiza un agente de recursos humanos del organismo en el cual trabajo. saludos cordiales.  ",Pedido de Certificados
"quisiera obtener la regularidad para poder rendir los finales que tengo pendientes,. gracias ",Reincorporación
"hola buenas tardes! una pregunta, entro al acceso de aspirantes y cuando me pide que ponga el dni me dice que el numero no corresponde a ningún aspirante. se actualiza el año que viene o como es el asunto? desde y muchas gracias!!   ",Ingreso a la Universidad
no pude terminar de hacer el formulario para el boleto estudiantil ,Boleto Universitario
"hola quería consultar sobre la carga en la sube, de este año no obtuve ninguna carga, fui a hablar y me dijeron que en este mes de abril la iba a tener y todavía no la obtengo! querría saber porque? y si lo van acreditar? muchas gracias saludos ",Boleto Universitario
"quería saber porque no aparezco para anotarme en el taller si yo ya estoy inscripta en la universidad, muchas gracias. ",Cursadas
hola no puedo ingresar con mi contraseña a mi perfil y no me llegan el mail para reestablecer la clave. desde ya muchas gracias ,Problemas con la Clave
"estimados.   es posible inscribirse a dos carreras? por este medio aparentemente no.  de todas formas consultaré al llevar la documentación a la sede, pero les pregunto ante la duda.  gracias ",Simultaneidad de Carreras
"quisiera saber, en qué estado se encuentra mi solicitud, para el boleto estudiantil. muchas gracias ",Boleto Universitario
hola quería preguntar donde consigo el ticket que me piden los profesores para anotarme en la libreta la promoción de la materia??  muchas gracias  ,Pedido de Certificados
"buen día, queria saber como quedan los horarios para la asignatura teoria y tecnica impositiva i en la sede lujan, ya que el horario cuando me inscribi era los lunes de 19 a 22 hs y los jueves de 18 a 21 hs pero ayer el profesor alvarez comento que el horario de los jueves se modifico. por favor necesito confirmar los horarios. muchas gracias.  ",Cursadas
para solicitar certificado analítico debo generar clave o cuan es el accedo vía internet. ,Pedido de Certificados
